part_id,panel_id,presence_work,presence_school,educational_attainment,region_nuts1,occupation,primary_vaccination_cycle,indirect_contacts
1154,1154,In-person work,,Upper Secondary,North-East,Employed,Yes,3
1155,1155,,,Upper Secondary,North-West,Retired,Yes,2
1156,1156,In-person work,,Upper Secondary,North-West,Employed,Yes,4
1157,1157,In-person work,,Bachelor or above,North-East,Employed,Yes,0
1158,1158,No work,,Upper Secondary,North-East,Employed,Yes,3
1159,1159,,,Upper Secondary,Islands,Retired,Yes,1
1160,1160,,,Lower Secondary or below,North-East,Home/family care,Yes,0
1161,1161,In-person work,,Bachelor or above,North-East,Employed,Yes,7
1162,1162,In-person work,,Bachelor or above,North-West,Employed,Yes,20
1163,1163,,,Upper Secondary,North-West,Inactive,Yes,1
1164,1164,In-person work,,Bachelor or above,North-East,Employed,Yes,2
1165,1165,In-person work,,Upper Secondary,North-East,Employed,Yes,4
1166,1166,,In-person attendance,Lower Secondary or below,North-West,Student,Yes,7
1167,1167,,,Upper Secondary,North-West,Retired,Yes,1
1168,1168,In-person work,,Upper Secondary,South,Employed,Yes,2
1169,1169,,No attendance,Lower Secondary or below,North-East,Student,No,20
1170,1170,,,Lower Secondary or below,North-West,Inactive,Yes,0
1171,1171,In-person work,,Upper Secondary,Centre,Employed,Yes,2
1172,1172,,In-person attendance,Lower Secondary or below,South,Student,Yes,20
1173,1173,In-person work,,Bachelor or above,Centre,Employed,Yes,1
1174,1174,In-person work,,Bachelor or above,South,Employed,Yes,5
1175,1175,,,Upper Secondary,North-East,Retired,Yes,0
1176,1176,,In-person attendance,Lower Secondary or below,Centre,Student,Yes,30
1177,1177,,No attendance,Lower Secondary or below,Centre,Student,Yes,18
1178,1178,In-person work,,Upper Secondary,North-East,Employed,Yes,40
1179,1179,In-person work,,Bachelor or above,South,Employed,Yes,1
1180,1180,In-person work,,Upper Secondary,North-East,Employed,No,0
1181,1181,Remote work,,Bachelor or above,North-West,Employed,Yes,4
1182,1182,In-person work,,Bachelor or above,North-West,Employed,Yes,4
1183,1183,,No attendance,Lower Secondary or below,North-East,Student,No,0
1184,1184,,In-person attendance,Lower Secondary or below,Centre,Student,Yes,22
1185,1185,In-person work,,Upper Secondary,Islands,Employed,Yes,2
1186,1186,Remote work,,Upper Secondary,South,Employed,Yes,3
1187,1187,In-person work,,Bachelor or above,Centre,Employed,Yes,3
1188,1188,Remote work,,Bachelor or above,North-West,Employed,Yes,10
1189,1189,,,Bachelor or above,North-West,Retired,Yes,1
1190,1190,,,Lower Secondary or below,South,Home/family care,Yes,0
1191,1191,In-person work,,Bachelor or above,North-East,Employed,No,5
1192,1192,In-person work,,Bachelor or above,North-West,Employed,Yes,8
1193,1193,In-person work,,Upper Secondary,North-West,Employed,Yes,6
1194,1194,In-person work,,Upper Secondary,South,Employed,No,1
1195,1195,,,Lower Secondary or below,North-West,Inactive,Yes,2
1196,1196,In-person work,,Bachelor or above,Islands,Employed,Yes,3
1197,1197,No work,,Bachelor or above,Centre,Employed,Yes,2
1198,1198,In-person work,,Bachelor or above,South,Employed,Yes,1
1199,1199,,In-person attendance,Lower Secondary or below,North-West,Student,Yes,20
1200,1200,In-person work,,Bachelor or above,North-West,Employed,Yes,15
1201,1201,In-person work,,Upper Secondary,Islands,Employed,No,7
1202,1202,,,Upper Secondary,South,Inactive,Yes,1
1203,1203,In-person work,,Upper Secondary,Islands,Employed,Yes,4
1204,1204,In-person work,,Upper Secondary,Islands,Employed,Yes,5
1205,1205,In-person work,,Upper Secondary,North-West,Employed,Yes,7
1206,1206,,,Upper Secondary,South,Inactive,Yes,0
1207,1207,,,Upper Secondary,North-West,Home/family care,No,1
1208,1208,,,Upper Secondary,North-West,Home/family care,No,3
1209,1209,,In-person attendance,Lower Secondary or below,North-West,Student,No,8
1210,1210,,,Upper Secondary,South,Inactive,No,1
1211,1211,In-person work,,Upper Secondary,North-West,Employed,Yes,6
1212,1212,,,Upper Secondary,Centre,Inactive,Yes,3
1213,1213,,,Upper Secondary,Centre,Inactive,Yes,4
1214,1214,,In-person attendance,Lower Secondary or below,Centre,Student,No,24
1215,1215,In-person work,,Upper Secondary,North-West,Employed,Yes,3
1216,1216,,,Lower Secondary or below,South,Retired,Yes,3
1217,1217,,,Upper Secondary,Centre,Home/family care,Yes,2
1218,1218,,,Lower Secondary or below,Islands,Home/family care,Yes,4
1219,1219,In-person work,,Upper Secondary,South,Employed,Yes,5
1220,1220,,In-person attendance,Lower Secondary or below,Centre,Student,Yes,20
1221,1221,No work,,Bachelor or above,North-East,Employed,Yes,3
1222,1222,,,Upper Secondary,Centre,Home/family care,No,1
1223,1223,,,Upper Secondary,Centre,Home/family care,Yes,2
1224,1224,In-person work,,Upper Secondary,South,Employed,Yes,20
1225,1225,,In-person attendance,Lower Secondary or below,North-East,Student,No,25
1226,1226,In-person work,,Lower Secondary or below,North-East,Employed,Yes,8
1227,1227,In-person work,,Bachelor or above,North-East,Employed,Yes,5
1228,1228,,In-person attendance,Lower Secondary or below,North-East,Student,No,24
1229,1229,,,Upper Secondary,Centre,Retired,Yes,5
1230,1230,In-person work,,Upper Secondary,South,Employed,Yes,1
1231,1231,,In-person attendance,Lower Secondary or below,South,Student,Yes,2
1232,1232,,In-person attendance,Bachelor or above,North-West,Student,Yes,50
1233,1233,,,Lower Secondary or below,South,Home/family care,Yes,4
1234,1234,,,Upper Secondary,Islands,Inactive,Yes,3
1235,1235,,,Bachelor or above,South,Inactive,Yes,3
1236,1236,,,Lower Secondary or below,Islands,Retired,Yes,2
1237,1237,,,Upper Secondary,Islands,Inactive,Yes,0
1238,1238,No work,,Upper Secondary,North-East,Employed,Yes,1
1239,1239,In-person work,,Lower Secondary or below,North-East,Employed,No,2
1240,1240,,In-person attendance,Lower Secondary or below,Centre,Student,Yes,10
1241,1241,,,Lower Secondary or below,Islands,Inactive,Yes,2
1242,1242,,,Upper Secondary,Centre,Inactive,Yes,2
1243,1243,,,Upper Secondary,Centre,Home/family care,Yes,3
1244,1244,In-person work,,Bachelor or above,North-West,Employed,Yes,30
1245,1245,In-person work,,Upper Secondary,North-West,Employed,No,12
1246,1246,In-person work,,Lower Secondary or below,North-West,Employed,Yes,1
1247,1247,In-person work,,Upper Secondary,North-West,Employed,Yes,10
1248,1248,Remote work,,Bachelor or above,North-West,Employed,Yes,5
1249,1249,In-person work,,Bachelor or above,North-East,Employed,Yes,4
1250,1250,In-person work,,Lower Secondary or below,Centre,Employed,Yes,4
1251,1251,,,Bachelor or above,North-East,Inactive,Yes,1
1252,1252,In-person work,,Bachelor or above,South,Employed,Yes,2
1253,1253,In-person work,,Bachelor or above,North-East,Employed,No,1
1254,1254,,,Upper Secondary,South,Retired,Yes,5
1255,1255,,Remote attendance,Bachelor or above,South,Student,Yes,0
1256,1256,Remote work,,Upper Secondary,South,Employed,Yes,0
1257,1257,In-person work,,Upper Secondary,North-East,Employed,Yes,4
1258,1258,,,Lower Secondary or below,Centre,Inactive,Yes,0
1259,1259,,,Upper Secondary,South,Inactive,Yes,5
1260,1260,In-person work,,Bachelor or above,South,Employed,Yes,6
1261,1261,,,Upper Secondary,Centre,Inactive,Yes,2
1262,1262,,,Bachelor or above,South,Retired,Yes,1
1263,1263,,,Upper Secondary,Centre,Inactive,Yes,1
1264,1264,In-person work,,Upper Secondary,North-East,Employed,Yes,2
1265,1265,,In-person attendance,Lower Secondary or below,South,Student,Yes,13
1266,1266,,,Upper Secondary,South,Home/family care,Yes,3
1267,1267,,,Upper Secondary,Centre,Home/family care,No,2
1268,1268,,,Bachelor or above,South,Retired,Yes,9
1269,1269,No work,,Bachelor or above,North-East,Employed,Yes,2
1270,1270,,,Upper Secondary,South,Inactive,Yes,3
1271,1271,Remote work,,Bachelor or above,Centre,Employed,Yes,1
1272,1272,In-person work,,Upper Secondary,Centre,Employed,Yes,1
1273,1273,,,Lower Secondary or below,Centre,Retired,Yes,0
1274,1274,,In-person attendance,Lower Secondary or below,North-West,Student,No,24
1275,1275,In-person work,,Bachelor or above,Centre,Employed,Yes,15
1276,1276,In-person work,,Upper Secondary,North-West,Employed,Yes,100
1277,1277,In-person work,,Bachelor or above,Islands,Employed,No,10
1278,1278,In-person work,,Upper Secondary,North-West,Employed,Yes,0
1279,1279,,,Upper Secondary,North-West,Retired,Yes,2
1280,1280,Remote work,,Upper Secondary,North-West,Employed,No,0
1281,1281,In-person work,,Bachelor or above,North-West,Employed,Yes,4
1282,1282,,No attendance,Upper Secondary,North-West,Student,Yes,1
1283,1283,In-person work,,Upper Secondary,North-West,Employed,Yes,10
1284,1284,,,Upper Secondary,North-West,Retired,Yes,2
1285,1285,,,Upper Secondary,Islands,Home/family care,Yes,3
1286,1286,,,Upper Secondary,North-West,Retired,Yes,2
1287,1287,,,Upper Secondary,Islands,Inactive,Yes,10
1288,1288,,,Upper Secondary,North-West,Inactive,No,0
1289,1289,,,Lower Secondary or below,Islands,Inactive,Yes,3
1290,1290,In-person work,,Upper Secondary,North-West,Employed,No,10
1291,1291,,In-person attendance,Lower Secondary or below,Islands,Student,Yes,15
1292,1292,,,Bachelor or above,North-East,Retired,Yes,10
1293,1293,No work,,Upper Secondary,Centre,Employed,No,3
1294,1294,,,Upper Secondary,North-West,Retired,No,3
1295,1295,,No attendance,Lower Secondary or below,Centre,Student,No,40
1296,1296,In-person work,,Bachelor or above,North-West,Employed,Yes,2
1297,1297,,,Upper Secondary,South,Home/family care,Yes,1
1298,1298,In-person work,,Upper Secondary,North-East,Employed,Yes,1
1299,1299,,,Lower Secondary or below,South,Home/family care,Yes,0
1300,1300,In-person work,,Bachelor or above,North-East,Employed,Yes,3
1301,1301,In-person work,,Upper Secondary,North-East,Employed,Yes,2
1302,1302,,,Bachelor or above,Centre,Retired,Yes,1
1303,1303,In-person work,,Upper Secondary,North-West,Employed,Yes,2
1304,1304,Remote work,,Upper Secondary,South,Employed,Yes,0
1305,1305,,In-person attendance,Lower Secondary or below,South,Student,No,6
1306,1306,,Remote attendance,Upper Secondary,North-West,Student,Yes,5
1307,1307,In-person work,,Upper Secondary,North-West,Employed,Yes,5
1308,1308,,,Bachelor or above,North-West,Retired,Yes,2
1309,1309,In-person work,,Lower Secondary or below,North-East,Employed,Yes,1
1310,1310,In-person work,,Upper Secondary,North-West,Employed,Yes,10
1311,1311,,No attendance,Bachelor or above,South,Student,Yes,5
1312,1312,,In-person attendance,Lower Secondary or below,Centre,Student,Yes,25
1313,1313,In-person work,,Upper Secondary,Centre,Employed,Yes,7
1314,1314,No work,,Upper Secondary,Centre,Employed,Yes,5
1315,1315,In-person work,,Upper Secondary,North-East,Employed,Yes,1
1316,1316,No work,,Upper Secondary,North-East,Employed,Yes,20
1317,1317,In-person work,,Upper Secondary,Centre,Employed,Yes,10
1318,1318,In-person work,,Upper Secondary,North-West,Employed,No,4
1319,1319,No work,,Upper Secondary,North-West,Employed,Yes,1
1320,1320,,,Upper Secondary,Islands,Home/family care,Yes,0
1321,1321,,,Upper Secondary,North-West,Inactive,No,2
1322,1322,Remote work,,Upper Secondary,Islands,Employed,Yes,0
1323,1323,No work,,Bachelor or above,South,Employed,Yes,0
1324,1324,In-person work,,Upper Secondary,North-West,Employed,Yes,0
1325,1325,,,Lower Secondary or below,North-West,Inactive,Yes,5
1326,1326,,,Lower Secondary or below,Centre,Retired,Yes,0
1327,1327,In-person work,,Upper Secondary,North-East,Employed,Yes,4
1328,1328,,In-person attendance,Lower Secondary or below,North-West,Student,Yes,20
1329,1329,,In-person attendance,Lower Secondary or below,Islands,Student,No,5
1330,1330,Remote work,No attendance,Upper Secondary,North-West,Student,Yes,1
1331,1331,,,Upper Secondary,North-West,Inactive,Yes,4
1332,1332,Remote work,,Bachelor or above,Centre,Employed,Yes,2
1333,1333,In-person work,,Upper Secondary,Centre,Employed,Yes,5
1334,1334,In-person work,,Upper Secondary,North-East,Employed,Yes,1
1335,1335,In-person work,,Lower Secondary or below,North-West,Employed,Yes,1
1336,1336,In-person work,,Upper Secondary,South,Employed,Yes,5
1337,1337,In-person work,,Upper Secondary,North-West,Employed,Yes,3
1338,1338,In-person work,,Upper Secondary,North-East,Employed,Yes,0
1339,1339,In-person work,,Bachelor or above,South,Employed,Yes,3
1340,1340,,,Upper Secondary,South,Home/family care,Yes,0
1341,1341,In-person work,,Bachelor or above,South,Employed,Yes,6
1342,1342,,,Bachelor or above,Centre,Retired,Yes,6
1343,1343,In-person work,,Upper Secondary,North-West,Employed,Yes,4
1344,1344,,,Upper Secondary,South,Home/family care,No,0
1345,1345,,,Lower Secondary or below,Islands,Inactive,Yes,5
1346,1346,,,Upper Secondary,North-West,Retired,Yes,0
1347,1347,,,Upper Secondary,Islands,Home/family care,Yes,2
1348,1348,In-person work,,Upper Secondary,South,Employed,Yes,7
1349,1349,,,Lower Secondary or below,Centre,Inactive,Yes,1
1350,1350,In-person work,,Upper Secondary,South,Employed,Yes,7
1351,1351,In-person work,,Bachelor or above,North-East,Employed,Yes,1
1352,1352,In-person work,,Bachelor or above,North-West,Employed,Yes,8
1353,1353,In-person work,,Upper Secondary,North-West,Employed,Yes,7
1354,1354,Remote work,,Bachelor or above,North-East,Employed,Yes,15
1355,1355,,In-person attendance,Upper Secondary,South,Student,Yes,15
1356,1356,,,Lower Secondary or below,South,Inactive,Yes,1
1357,1357,In-person work,,Bachelor or above,Centre,Employed,Yes,5
1358,1358,,,Upper Secondary,Centre,Inactive,Yes,1
1359,1359,In-person work,,Lower Secondary or below,North-West,Employed,No,1
1360,1360,Remote work,,Upper Secondary,Centre,Employed,Yes,2
1361,1361,In-person work,,Upper Secondary,North-East,Employed,Yes,3
1362,1362,No work,,Bachelor or above,Centre,Employed,Yes,1
1363,1363,,,Upper Secondary,Islands,Home/family care,Yes,1
1364,1364,Remote work,,Bachelor or above,Centre,Employed,Yes,1
1365,1365,In-person work,,Upper Secondary,South,Employed,Yes,3
1366,1366,In-person work,,Upper Secondary,Centre,Employed,Yes,1
1367,1367,In-person work,,Bachelor or above,Centre,Employed,Yes,14
1368,1368,In-person work,,Upper Secondary,South,Employed,Yes,3
1369,1369,,,Upper Secondary,South,Inactive,No,0
1370,1370,In-person work,,Upper Secondary,North-East,Employed,Yes,3
1371,1371,,,Lower Secondary or below,Centre,Retired,Yes,1
1372,1372,In-person work,,Upper Secondary,Islands,Employed,Yes,3
1373,1373,,,Upper Secondary,North-East,Home/family care,Yes,3
1374,1374,In-person work,,Bachelor or above,Centre,Employed,No,15
1375,1375,,No attendance,Upper Secondary,South,Student,Yes,4
1376,1376,In-person work,,Bachelor or above,North-West,Employed,Yes,1
1377,1377,In-person work,,Bachelor or above,South,Employed,Yes,4
1378,1378,In-person work,,Bachelor or above,North-West,Employed,Yes,5
1379,1379,Remote work,,Bachelor or above,North-West,Employed,Yes,1
1380,1380,In-person work,,Upper Secondary,North-East,Employed,Yes,4
1381,1381,,,Upper Secondary,Islands,Inactive,Yes,2
1382,1382,In-person work,,Upper Secondary,Islands,Employed,Yes,0
1383,1383,,,Upper Secondary,North-West,Retired,Yes,30
1384,1384,,,Bachelor or above,North-East,Retired,Yes,1
1385,1385,,,Lower Secondary or below,Islands,Retired,Yes,2
1386,1386,In-person work,,Upper Secondary,North-East,Employed,Yes,3
1387,1387,,,Lower Secondary or below,North-East,Inactive,Yes,1
1388,1388,,,Upper Secondary,Islands,Home/family care,Yes,2
1389,1389,In-person work,,Upper Secondary,Centre,Employed,Yes,5
1390,1390,,,Lower Secondary or below,North-West,Inactive,No,1
1391,1391,In-person work,,Upper Secondary,North-East,Employed,Yes,8
1392,1392,,,Bachelor or above,North-West,Inactive,Yes,0
1393,1393,,,Upper Secondary,North-East,Retired,Yes,2
1394,1394,In-person work,,Upper Secondary,North-West,Employed,Yes,1
1395,1395,,,Upper Secondary,Islands,Inactive,Yes,3
1396,1396,In-person work,,Upper Secondary,North-West,Employed,Yes,6
1397,1397,,,Upper Secondary,Centre,Retired,Yes,1
1398,1398,,,Bachelor or above,North-East,Retired,Yes,1
1399,1399,In-person work,,Bachelor or above,North-West,Employed,Yes,3
1400,1400,,,Upper Secondary,South,Home/family care,Yes,15
1401,1401,In-person work,,Bachelor or above,North-West,Employed,Yes,3
1402,1402,In-person work,,Bachelor or above,North-East,Employed,Yes,1
1403,1403,,,Bachelor or above,South,Inactive,Yes,20
1404,1404,,,Upper Secondary,Islands,Inactive,No,3
1405,1405,In-person work,,Bachelor or above,North-East,Employed,Yes,2
1406,1406,,,Upper Secondary,South,Retired,Yes,2
1407,1407,In-person work,,Upper Secondary,South,Employed,Yes,8
1408,1408,In-person work,,Lower Secondary or below,Centre,Employed,Yes,5
1409,1409,,In-person attendance,Upper Secondary,Islands,Student,Yes,12
1410,1410,Remote work,Remote attendance,Bachelor or above,Centre,Student,Yes,0
1411,1411,,,Bachelor or above,South,Home/family care,Yes,3
1412,1412,In-person work,,Upper Secondary,North-West,Employed,Yes,6
1413,1413,,,Upper Secondary,North-West,Retired,Yes,4
1414,1414,In-person work,,Upper Secondary,Islands,Employed,Yes,5
1415,1415,Remote work,,Bachelor or above,Centre,Employed,Yes,20
1416,1416,In-person work,,Upper Secondary,North-East,Employed,Yes,6
1417,1417,Remote work,,Upper Secondary,North-East,Employed,Yes,2
1418,1418,Remote work,,Upper Secondary,North-East,Employed,Yes,0
1419,1419,,,Lower Secondary or below,North-East,Retired,Yes,3
1420,1420,Remote work,,Bachelor or above,Centre,Employed,Yes,5
1421,1421,,,Upper Secondary,North-East,Inactive,Yes,2
1422,1422,In-person work,,Upper Secondary,North-West,Employed,Yes,8
1423,1423,Remote work,,Upper Secondary,South,Employed,Yes,1
1424,1424,No work,,Bachelor or above,North-East,Employed,Yes,1
1425,1425,Remote work,,Upper Secondary,Centre,Employed,Yes,3
1426,1426,In-person work,,Upper Secondary,Centre,Employed,Yes,2
1427,1427,In-person work,,Upper Secondary,South,Employed,Yes,15
1428,1428,In-person work,,Upper Secondary,North-East,Employed,Yes,30
1429,1429,In-person work,,Upper Secondary,North-East,Employed,Yes,7
1430,1430,In-person work,,Upper Secondary,North-East,Employed,Yes,4
1431,1431,In-person work,,Upper Secondary,North-East,Employed,Yes,15
1432,1432,In-person work,,Upper Secondary,South,Employed,Yes,1
1433,1433,,,Lower Secondary or below,Islands,Home/family care,Yes,4
1434,1434,In-person work,,Upper Secondary,North-West,Employed,Yes,5
1435,1435,,,Upper Secondary,Islands,Home/family care,Yes,7
1436,1436,Remote work,,Upper Secondary,North-West,Employed,Yes,1
1437,1437,,,Lower Secondary or below,Islands,Home/family care,Yes,2
1438,1438,,,Upper Secondary,North-West,Home/family care,Yes,6
1439,1439,,,Upper Secondary,North-West,Retired,Yes,0
1440,1440,In-person work,,Upper Secondary,North-West,Employed,Yes,2
1441,1441,Remote work,,Bachelor or above,North-West,Employed,Yes,2
1442,1442,In-person work,,Lower Secondary or below,South,Employed,Yes,7
1443,1443,In-person work,,Bachelor or above,North-West,Employed,Yes,30
1444,1444,In-person work,,Upper Secondary,North-West,Employed,Yes,3
1445,1445,,,Upper Secondary,Islands,Home/family care,Yes,0
1446,1446,,,Upper Secondary,North-West,Inactive,Yes,4
1447,1447,,,Upper Secondary,North-East,Retired,Yes,10
1448,1448,In-person work,,Bachelor or above,Centre,Employed,Yes,30
1449,1449,,,Upper Secondary,South,Inactive,Yes,2
1450,1450,In-person work,,Upper Secondary,North-East,Employed,Yes,10
1451,1451,No work,,Bachelor or above,Centre,Employed,Yes,2
1452,1452,,,Upper Secondary,South,Home/family care,Yes,15
1453,1453,In-person work,,Upper Secondary,Centre,Employed,Yes,15
1454,1454,,,Upper Secondary,Centre,Home/family care,Yes,5
1455,1455,,,Upper Secondary,South,Home/family care,Yes,0
1456,1456,Remote work,,Upper Secondary,North-East,Employed,Yes,4
1457,1457,In-person work,,Bachelor or above,North-East,Employed,Yes,8
1458,1458,In-person work,,Upper Secondary,North-East,Employed,No,5
1459,1459,In-person work,,Bachelor or above,South,Employed,Yes,5
1460,1460,In-person work,,Upper Secondary,North-East,Employed,Yes,5
1461,1461,,,Upper Secondary,Islands,Retired,Yes,0
1462,1462,In-person work,,Upper Secondary,Islands,Employed,Yes,5
1463,1463,Remote work,,Upper Secondary,North-East,Employed,Yes,4
1464,1464,,,Upper Secondary,Centre,Retired,No,3
1465,1465,Remote work,,Bachelor or above,Centre,Employed,Yes,0
1466,1466,In-person work,,Bachelor or above,South,Employed,Yes,20
1467,1467,No work,,Lower Secondary or below,Islands,Employed,Yes,0
1468,1468,In-person work,,Upper Secondary,South,Employed,Yes,11
1469,1469,,,Lower Secondary or below,Centre,Inactive,Yes,0
1470,1470,Remote work,,Bachelor or above,North-West,Employed,Yes,1
1471,1471,,,Bachelor or above,Centre,Retired,Yes,5
1472,1472,In-person work,,Bachelor or above,Centre,Employed,Yes,30
1473,1473,In-person work,,Upper Secondary,North-West,Employed,Yes,3
1474,1474,In-person work,,Bachelor or above,South,Employed,Yes,0
1475,1475,In-person work,,Bachelor or above,North-West,Employed,Yes,5
1476,1476,,,Upper Secondary,Centre,Home/family care,Yes,3
1477,1477,,,Upper Secondary,Centre,Retired,Yes,2
1478,1478,,,Upper Secondary,South,Retired,Yes,7
1479,1479,,,Lower Secondary or below,South,Home/family care,Yes,0
1480,1480,Remote work,No attendance,Bachelor or above,North-West,Student,No,2
1481,1481,,,Lower Secondary or below,South,Retired,Yes,3
1482,1482,In-person work,,Upper Secondary,North-East,Employed,Yes,2
1483,1483,In-person work,,Bachelor or above,Centre,Employed,Yes,20
1484,1484,,Remote attendance,Bachelor or above,North-East,Student,Yes,2
1485,1485,,,Bachelor or above,Centre,Inactive,No,3
1486,1486,,,Upper Secondary,North-West,Retired,No,0
1487,1487,In-person work,,Upper Secondary,North-East,Employed,Yes,1
1488,1488,,,Upper Secondary,North-West,Inactive,Yes,0
1489,1489,No work,,Upper Secondary,Centre,Employed,Yes,0
1490,1490,In-person work,,Upper Secondary,South,Employed,Yes,0
1491,1491,No work,,Upper Secondary,Centre,Employed,Yes,3
1492,1492,,In-person attendance,Bachelor or above,North-West,Student,Yes,10
1493,1493,In-person work,,Upper Secondary,North-West,Employed,Yes,7
1494,1494,,,Upper Secondary,South,Retired,Yes,4
1495,1495,,,Lower Secondary or below,South,Retired,Yes,2
1496,1496,,,Lower Secondary or below,South,Retired,Yes,0
1497,1497,No work,No attendance,Upper Secondary,North-West,Student,Yes,50
1498,1498,,,Upper Secondary,North-West,Inactive,Yes,0
1499,1499,,,Upper Secondary,Islands,Retired,Yes,10
1500,1500,,,Upper Secondary,North-West,Retired,Yes,2
1501,1501,In-person work,,Bachelor or above,North-West,Employed,Yes,2
1502,1502,,,Upper Secondary,North-West,Retired,Yes,2
1503,1503,,In-person attendance,Bachelor or above,North-West,Student,Yes,40
1504,1504,In-person work,,Upper Secondary,North-West,Employed,Yes,5
1505,1505,Remote work,,Bachelor or above,Islands,Employed,Yes,3
1506,1506,,,Bachelor or above,North-West,Retired,Yes,4
1507,1507,In-person work,,Upper Secondary,North-East,Employed,Yes,15
1508,1508,In-person work,,Bachelor or above,North-West,Employed,Yes,0
1509,1509,In-person work,,Upper Secondary,South,Employed,Yes,3
1510,1510,,,Lower Secondary or below,North-West,Retired,Yes,5
1511,1511,,,Lower Secondary or below,North-West,Inactive,Yes,0
1512,1512,In-person work,,Upper Secondary,North-West,Employed,Yes,1
1513,1513,In-person work,,Bachelor or above,North-East,Employed,Yes,10
1514,1514,Remote work,,Upper Secondary,North-East,Employed,Yes,1
1515,1515,In-person work,,Bachelor or above,Centre,Employed,Yes,7
1516,1516,In-person work,,Upper Secondary,North-East,Employed,Yes,2
1517,1517,,,Lower Secondary or below,North-East,Home/family care,No,3
1518,1518,,,Bachelor or above,North-West,Retired,Yes,0
1519,1519,,,Upper Secondary,Centre,Home/family care,Yes,1
1520,1520,,In-person attendance,Upper Secondary,Centre,Student,Yes,2
1521,1521,,,Lower Secondary or below,North-West,Inactive,Yes,4
1522,1522,In-person work,,Bachelor or above,Centre,Employed,Yes,6
1523,1523,No work,,Upper Secondary,North-East,Employed,Yes,2
1524,1524,In-person work,,Upper Secondary,Islands,Employed,Yes,1
1525,1525,,,Upper Secondary,North-East,Home/family care,Yes,1
1526,1526,In-person work,,Lower Secondary or below,North-West,Employed,Yes,2
1527,1527,,In-person attendance,Upper Secondary,Centre,Student,Yes,2
1528,1528,No work,,Upper Secondary,North-West,Employed,Yes,1
1529,1529,In-person work,Remote attendance,Bachelor or above,South,Student,Yes,3
1530,1530,,In-person attendance,Bachelor or above,South,Student,Yes,3
1531,1531,,,Upper Secondary,Islands,Inactive,Yes,1
1532,1532,No work,,Upper Secondary,Centre,Employed,Yes,10
1533,1533,No work,,Upper Secondary,North-East,Employed,Yes,2
1534,1534,In-person work,,Upper Secondary,North-East,Employed,Yes,0
1535,1535,,,Bachelor or above,Islands,Retired,Yes,1
1536,1536,In-person work,,Upper Secondary,Islands,Employed,Yes,50
1537,1537,,,Upper Secondary,North-East,Inactive,Yes,2
1538,1538,,,Upper Secondary,South,Inactive,Yes,96
1539,1539,No work,,Lower Secondary or below,North-West,Employed,Yes,0
1540,1540,In-person work,,Bachelor or above,North-East,Employed,Yes,3
1541,1541,,,Upper Secondary,Centre,Retired,Yes,0
1542,1542,,,Upper Secondary,Islands,Retired,Yes,4
1543,1543,In-person work,,Upper Secondary,North-East,Employed,Yes,5
1544,1544,In-person work,In-person attendance,Upper Secondary,Islands,Student,Yes,0
1545,1545,Remote work,,Bachelor or above,North-East,Employed,Yes,0
1546,1546,,,Bachelor or above,North-West,Inactive,Yes,5
1547,1547,,,Upper Secondary,Islands,Home/family care,Yes,0
1548,1548,,,Bachelor or above,North-East,Retired,Yes,35
1549,1549,In-person work,,Upper Secondary,North-East,Employed,Yes,0
1550,1550,In-person work,,Upper Secondary,South,Employed,Yes,2
1551,1551,,,Bachelor or above,Islands,Home/family care,Yes,2
1552,1552,,,Upper Secondary,Islands,Home/family care,Yes,0
1553,1553,In-person work,,Upper Secondary,Centre,Employed,Yes,0
1554,1554,In-person work,,Upper Secondary,North-East,Employed,Yes,1
1555,1555,,,Bachelor or above,North-West,Retired,Yes,4
1556,1556,In-person work,,Upper Secondary,North-East,Employed,Yes,0
1557,1557,No work,,Bachelor or above,North-East,Employed,Yes,2
1558,1558,,,Bachelor or above,North-West,Retired,Yes,1
1559,1559,,,Bachelor or above,North-East,Retired,Yes,6
1560,1560,In-person work,,Upper Secondary,Centre,Employed,Yes,6
1561,1561,,,Lower Secondary or below,North-West,Inactive,Yes,0
1562,1562,,,Lower Secondary or below,Islands,Inactive,No,2
1563,1563,Remote work,,Bachelor or above,North-West,Employed,Yes,0
1564,1564,No work,,Upper Secondary,North-West,Employed,Yes,0
1565,1565,In-person work,,Bachelor or above,North-West,Employed,Yes,4
1566,1566,In-person work,,Upper Secondary,North-East,Employed,Yes,10
1567,1567,In-person work,,Upper Secondary,South,Employed,Yes,2
1568,1568,,,Upper Secondary,Centre,Retired,Yes,2
1569,1569,,,Bachelor or above,Centre,Retired,Yes,1
1570,1570,In-person work,,Upper Secondary,North-West,Employed,Yes,2
1571,1571,No work,,Bachelor or above,South,Employed,Yes,3
1572,1572,,,Upper Secondary,North-West,Inactive,Yes,5
1573,1573,In-person work,,Upper Secondary,North-East,Employed,Yes,0
1574,1574,,Remote attendance,Bachelor or above,South,Student,Yes,3
1575,1575,,,Upper Secondary,North-West,Inactive,Yes,4
1576,1576,In-person work,,Upper Secondary,Centre,Employed,Yes,1
1577,1577,In-person work,,Upper Secondary,Centre,Employed,Yes,0
1578,1578,No work,,Upper Secondary,Centre,Employed,Yes,0
1579,1579,,,Lower Secondary or below,North-West,Retired,Yes,2
1580,1580,In-person work,,Upper Secondary,South,Employed,Yes,3
